"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_iz_v3shood0","Praga V3S Hood","Praga V3S Hood","Kapota Praga V3S","Praga V3S-Motorhaube","Капот Praga V3S","Maska od Praga V3S","Praga V3S Hood","Cofano Praga V3S","Capó de Praga V3S","Capot de MS3","Praga V3S 引擎蓋","Praga V3S ボンネット","Praga V3S Hood","Praga V3S 引擎罩",
"str_iz_v3sdoors_driver1","Front left door of the Praga V3S off-road truck. Keeps the driver safe inside the vehicle.","Front left door of the Praga V3S off-road truck. Keeps the driver safe inside the vehicle.","Levé přední dveře terénního náklaďáku Praga V3S. Zajišťují bezpečnost řidiče uvnitř auta.","Linke Vordertür des Praga V3S-Offroad-LKW. Verhindert, dass der Fahrer aus dem Wagen fällt.","Передняя левая дверь внедорожника Praga V3S. Обеспечивает безопасность водителя внутри автомобиля.","Przednie lewe drzwi od ciężarówki terenowej Praga V3S. Dzięki nim kierowca będzie bezpieczny.","Front left door of the Praga V3S off-road truck. Keeps the driver safe inside the vehicle.","La portiera anteriore sinistra del camion da fuoristrada Praga V3S. Mantiene il pilota al sicuro all’interno del veicolo.","Puerta izquierda delantera de la camioneta todoterreno Praga V3S. Mantiene al piloto a salvo dentro del vehículo.","Une portière avant gauche pour camion tout-terrain Praga V3S. Permet de protéger le conducteur.","Praga V3S 越野卡車的左前門。保持駕駛在車內的安全。","Praga V3S オフロードトラックの左前のドア。運転席の人も安全に乗れる。","Front left door of the Praga V3S off-road truck. Keeps the driver safe inside the vehicle.","Praga V3S 越野卡车的左前车门。可确保驾驶员在车内的安全。",
"str_iz_v3sdoors_driver0","Praga V3S Left Door","Praga V3S Left Door","Levé dveře Praga V3S","Praga V3S-Tür links","Левая дверь Praga V3S","Lewe drzwi od Praga V3S","Praga V3S Left Door","Portiera sinistra Praga V3S","Puerta izquierda de Praga V3S","Portière gauche de MS3","Praga V3S 左門","Praga V3S 左のドア","Praga V3S Left Door","Praga V3S 左门",
"str_iz_v3sdoors_codriver1","Front right door of the Praga V3S off-road truck. Keeps the co-driver safe inside the vehicle.","Front right door of the Praga V3S off-road truck. Keeps the co-driver safe inside the vehicle.","Pravé přední dveře terénního náklaďáku Praga V3S. Zajišťují bezpečnost spolujezdce uvnitř auta.","Rechte Vordertür des Praga V3S-Offroad-LKW. Verhindert, dass der Beifahrer aus dem Wagen fällt.","Передняя правая дверь внедорожника Praga V3S. Обеспечивает безопасность сменного водителя внутри автомобиля.","Przednie prawe drzwi od ciężarówki terenowej Praga V3S. Dzięki nim drugi kierowca będzie bezpieczny.","Front right door of the Praga V3S off-road truck. Keeps the co-driver safe inside the vehicle.","La portiera anteriore destra del camion da fuoristrada Praga V3S. Mantiene il co-pilota al sicuro all’interno del veicolo.","Puerta derecha delantera de la camioneta todoterreno Praga V3S. Mantiene al copiloto a salvo dentro del vehículo.","Une portière avant droite pour camion tout-terrain Praga V3S. Permet de protéger le passager.","Praga V3S 越野卡車的右前門。保持副駕駛在車內的安全。","Praga V3S オフロードトラックの右前のドア。助手席の人も安全に乗れる。","Front right door of the Praga V3S off-road truck. Keeps the co-driver safe inside the vehicle.","Praga V3S 越野卡车的右前车门。可确保副驾驶员在车内的安全。",
"str_iz_v3sdoors_codriver0","Praga V3S Right Door","Praga V3S Right Door","Pravé dveře Praga V3S","Praga V3S-Tür rechts","Правая дверь Praga V3S","Prawe drzwi od Praga V3S","Praga V3S Right Door","Portiera destra Praga V3S","Puerta derecha de Praga V3S","Portière droite de MS3","Praga V3S 右門","Praga V3S 右のドア","Praga V3S Right Door","Praga V3S 右门",
"str_iz_v3s_chassis0","Praga V3S Chassis","Praga V3S Chassis","Korba Praga V3S","Praga V3S-Fahrgestell","Шасси Praga V3S","Podwozie od Praga V3S","Praga V3S Chassis","Telaio Praga V3S","Chasis de Praga V3S","Châssis de Praga V3S","Praga V3S 底盤","Praga V3S シャシー","Praga V3S Chassis","Praga V3S 底盘",
"str_iz_v3s_cargo0","Praga V3S Cargo Chassis","Praga V3S Cargo Chassis","Nákladní korba Praga V3S","Praga V3S-Transport-Fahrgestell","Шасси Praga V3S с кузовом","Podwozie od ciężarówki Praga V3S","Praga V3S Cargo Chassis","Telaio di carico Praga V3S","Chasis de Praga V3S Cargo","Châssis de Praga V3S Cargo","Praga V3S 貨車底盤","Praga V3S カーゴシャシー","Praga V3S Cargo Chassis","Praga V3S 货物底盘",


"str_iz_bushood0","$UNT$Bus Hood","$UNT$Bus Hood","$UNT$Bus Hood","$UNT$Bus Hood","$UNT$Bus Hood","$UNT$Bus Hood","$UNT$Bus Hood","$UNT$Bus Hood","$UNT$Bus Hood","$UNT$Bus Hood","$UNT$Bus Hood","$UNT$Bus Hood","$UNT$Bus Hood","$UNT$Bus Hood",
"str_iz_busdoors_right0","$UNT$Bus Right Doors","$UNT$Bus Right Doors","$UNT$Bus Right Doors","$UNT$Bus Right Doors","$UNT$Bus Right Doors","$UNT$Bus Right Doors","$UNT$Bus Right Doors","$UNT$Bus Right Doors","$UNT$Bus Right Doors","$UNT$Bus Right Doors","$UNT$Bus Right Doors","$UNT$Bus Right Doors","$UNT$Bus Right Doors","$UNT$Bus Right Doors",
"str_iz_busdoors_left0","$UNT$Bus Left Doors","$UNT$Bus Left Doors","$UNT$Bus Left Doors","$UNT$Bus Left Doors","$UNT$Bus Left Doors","$UNT$Bus Left Doors","$UNT$Bus Left Doors","$UNT$Bus Left Doors","$UNT$Bus Left Doors","$UNT$Bus Left Doors","$UNT$Bus Left Doors","$UNT$Bus Left Doors","$UNT$Bus Left Doors","$UNT$Bus Left Doors",
"str_iz_transitbuswheel_ruined0","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel",
"str_iz_transitbuswheeldouble_ruined0","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel",
"str_iz_transitbuswheeldouble0","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel","$UNT$Bus Double Wheel",
"str_iz_transitbuswheel0","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel","$UNT$Bus Wheel",
"str_iz_transitbus0","$UNT$Transit Bus","$UNT$Transit Bus","$UNT$Transit Bus","$UNT$Transit Bus","$UNT$Transit Bus","$UNT$Transit Bus","$UNT$Transit Bus","$UNT$Transit Bus","$UNT$Transit Bus","$UNT$Transit Bus","$UNT$Transit Bus","$UNT$Transit Bus","$UNT$Transit Bus","$UNT$Transit Bus",


"str_iz_mh60","$UNT$Little Bird","$UNT$Little Bird","$UNT$Little Bird","$UNT$Little Bird","$UNT$Little Bird","$UNT$Little Bird","$UNT$Little Bird","$UNT$Little Bird","$UNT$Little Bird","$UNT$Little Bird","$UNT$Little Bird","$UNT$Little Bird","$UNT$Little Bird","$UNT$Little Bird",


"str_iz_cfgvehicles_sks_bayonet0","SKS-45 Bayonet","SKS-45 Bayonet","Bajonet SKS-45","SKS-45-Bajonett","Штык для винтовки SKS-45","Bagnet SKS-45","SKS-45 Bayonet","Baionetta SKS-45","Bayoneta para SKS-45","Baïonnette de SKS-45","SKS-45 刺刀","SKS-45 銃剣","SKS-45 Bayonet","SKS-45 刺刀",
"str_iz_cfgvehicles_sks_bayonet1","A bayonet for SKS-45 rifle with a bayonet lug.","A bayonet for SKS-45 rifle with a bayonet lug.","Bajonet na pušku SKS-45 s montáží na bajonet.","Ein Bajonett für das SKS-45-Gewehr mit Bajonettaufsatz.","Штык для винтовки SKS-45 с выступом для крепления штыка.","Bagnet na karabin SKS-45 z odpowiednim uchwytem.","A bayonet for SKS-45 rifle with a bayonet lug.","Una baionetta per fucile SKS-45 con un attacco per baionetta.","Una bayoneta para el fusil SKS-45, con un agarre de bayoneta.","Une baïonnette pouvant être fixée au fusil SKS-45.","刺刀，可加裝在有刺刀座的 SKS-45 步槍。","着剣ラグのある SKS-45 ライフルのための銃剣。","A bayonet for SKS-45 rifle with a bayonet lug.","一种带有刺刀座的 SKS-45 步枪的刺刀。",

"str_iz_cfgvehicles_saiga_bttstck0","Saiga-12K Folding Buttstock","Saiga-12K Folding Buttstock","Saiga-12K Folding Buttstock","Saiga-12K Folding Buttstock","Saiga-12K Folding Buttstock","Saiga-12K Folding Buttstock","Saiga-12K Folding Buttstock","Saiga-12K Folding Buttstock","Saiga-12K Folding Buttstock","Saiga-12K Folding Buttstock","Saiga-12K Folding Buttstock","Saiga-12K Folding Buttstock","Saiga-12K Folding Buttstock","Saiga-12K Folding Buttstock",
"str_iz_cfgvehicles_saiga_bttstck1","A folding buttstock for Saiga-12K shotgun.","A folding buttstock for Saiga-12K shotgun.","A folding buttstock for Saiga-12K shotgun.","A folding buttstock for Saiga-12K shotgun.","A folding buttstock for Saiga-12K shotgun.","A folding buttstock for Saiga-12K shotgun.","A folding buttstock for Saiga-12K shotgun.","A folding buttstock for Saiga-12K shotgun.","A folding buttstock for Saiga-12K shotgun.","A folding buttstock for Saiga-12K shotgun.","A folding buttstock for Saiga-12K shotgun.","A folding buttstock for Saiga-12K shotgun.","A folding buttstock for Saiga-12K shotgun.","A folding buttstock for Saiga-12K shotgun.",

"str_iz_cfgvehicles_reflexoptic0","Reflex Sight","Reflex Sight","Optika Reflex","Reflex-Visier","Прицел Reflex","Kolimator Reflex","Reflex Sight","Ottiche Reflex","Mira Reflex","Viseur Reflex","巴拉卡瞄具","バラカ照準器","Reflex Sight","Reflex 瞄具",
"str_iz_cfgvehicles_reflexoptic1","Standardized rail-mounted, non-magnifying optics with battery-powered illuminated reticle.","Standardized rail-mounted, non-magnifying optics with battery-powered illuminated reticle.","Standardní optika bez zvětšení s montáží na lištu s osvětleným záměrným křížem napájeným baterií.","Standardisiertes, schienengeführtes Zielvisier ohne Vergrößerung und mit batteriebetriebenem Leuchtabsehen.","Стандартный реечный прицел без увеличения с устройством освещения сетки на батарейке.","Doczepiany do szyny uniwersalny celownik z podświetlaną siatką bez powiększenia.","Standardized rail-mounted, non-magnifying optics with battery-powered illuminated reticle.","Ottiche montate su scanalatura, standardizzate, prive di zoom e con reticolo illuminato alimentato a batteria.","Mira de acople básico y sin lente de aumento que incluye una retícula iluminada que requiere batería.","Un viseur sans grossissement standardisé monté sur rail, avec réticule éclairé à pile.","無放大功能的標準導軌式光學瞄具，具電池式發光標線。","電池式で光る十字線を持つ、標準化されたレール取り付け型で拡大機能のない照準器。","Standardized rail-mounted, non-magnifying optics with battery-powered illuminated reticle.","标准化轨道式非放大光学瞄具，配备电池供电的照明分划板。",

"str_iz_cfgvehicles_puscopeoptic0","PU Scope","PU Scope","Optika PU","PU-Zielfernrohr","Прицел ПУ","Luneta PU","PU Scope","Mirino PU","Mira PU","Lunette PU","PU 瞄鏡","PU スコープ","PU Scope","PU 瞄准镜",
"str_iz_cfgvehicles_puscopeoptic1","A side-mounted, 3.5x magnifying scope with a non-illuminated reticle for Mosin 91/30 and SKS-45.","A side-mounted, 3.5x magnifying scope with a non-illuminated reticle for Mosin 91/30 and SKS-45.","Optika s boční montáží se zvětšením 3,5x s neosvětleným záměrným křížem na Mosin 91/30 a SKS-45.","Ein seitlich montiertes Zielfernrohr mit 3,5-facher Vergrößerung und ohne Leuchtabsehen für das Mosin 91/30 und das SKS-45.","Крепящийся сбоку 3,5-кратный прицел с неосвещенной сеткой для винтовки Мосина обр. 1891/30 гг. и SKS-45.","Montowana z boku luneta celownicza o powiększeniu 3,5x (bez podświetlanej siatki). Pasuje do Mosina 91/30 i SKS-45.","A side-mounted, 3.5x magnifying scope with a non-illuminated reticle for Mosin 91/30 and SKS-45.","Mirino montato lateralmente con ingrandimento 3.5x e reticolo non illuminato per Mosin 91/30 e SKS-45.","Montura lateral, mira de 3,5x aumentos con retícula no iluminada para Mosin 91/30 y SKS-45.","Une lunette de grossissement 3,5x à fixation latérale et réticule non éclairé. Pour le Mosin 91/30 et le SKS-45.","3.5x 放大倍率的側邊瞄鏡，具消光式標線，適用於 Mosin 91/30 與 SK 59/66。","モシン 91/30 と SKS-45 のための光らない十字線を持つ、側面取り付け型で 3.5x 倍率のスコープ。","A side-mounted, 3.5x magnifying scope with a non-illuminated reticle for Mosin 91/30 and SKS-45.","Mosin 91/30 和 SKS-45 的侧装式 3.5x 放大瞄准镜，带非照明分划板。",

"str_iz_cfgvehicles_pso1optic0","PSO-1 Scope","PSO-1 Scope","Optika PSO-1","PSO-1-Zielfernrohr","Прицел ПСО-1","Luneta PSO-1","PSO-1 Scope","Mirino PSO-1","Mira PSO-1","Lunette PSO-1","PSO-1 瞄鏡","PSO-1 スコープ","PSO-1 Scope","PSO-1 瞄准镜",
"str_iz_cfgvehicles_pso1optic1","A side-mounted, 4x magnifying scope with battery-powered illuminated reticle for AK based rifles.","A side-mounted, 4x magnifying scope with battery-powered illuminated reticle for AK based rifles.","Optika s boční montáží na pušky AK se zvětšením 4x s osvětleným záměrným křížem napájeným baterií.","Seitlich angebrachtes Zielfernrohr mit 4-facher Vergrößerung und batteriebetriebenem Leuchtabsehen für AK-basierte Gewehre.","Крепящийся сбоку 4-кратный прицел с устройством освещения сетки на батарейке. Разработан для автоматов системы КА.","Montowana z boku luneta celownicza o powiększeniu 4x (z podświetlaną siatką). Pasuje do karabinów AK.","A side-mounted, 4x magnifying scope with battery-powered illuminated reticle for AK based rifles.","Mirino montato lateralmente con ingrandimento 4x e reticolo illuminato alimentato a batteria per fucili di derivazione AK.","Una mira de acople lateral, con lente de aumento 4x. En los fusiles de tipo AK, incluye una retícula iluminada (la cual requiere batería).","Une lunette de grossissement 4x avec réticule éclairé par pile. Pour les fusils de type AK.","4x 放大倍率的側邊瞄鏡，具電池式發光標線，適用於 AK 系列步槍。","AK ベースのライフルのための電池式で光る十字線を持つ、側面取り付け型で 4x 倍率のスコープ。","A side-mounted, 4x magnifying scope with battery-powered illuminated reticle for AK based rifles.","AK 型步枪的侧装式 4 倍放大镜，带电池供电的照明分划板。",

"str_iz_cfgvehicles_pso11optic0","PSO-1-1 Scope","PSO-1-1 Scope","Optika PSO-1-1","PSO-1-1-Zielfernrohr","Прицел PSO-1-1","Luneta PSO-1-1","PSO-1-1 Scope","Mirino PSO-1-1","Mira PSO-1-1","Lunette PSO-1-1","PSO-1-1 瞄鏡","PSO-1-1 スコープ","PSO-1-1 Scope","PSO-1-1 瞄准镜",
"str_iz_cfgvehicles_pso11optic1","Side-mounted, 4x magnifying scope with battery-powered illuminated reticle calibrated for VSS Vintorez marksmen rifle. Otherwise compatible with AK based rifles.","Side-mounted, 4x magnifying scope with battery-powered illuminated reticle calibrated for VSS Vintorez marksmen rifle. Otherwise compatible with AK based rifles.","Optika se 4násobným zvětšením s boční montáží s osvětleným záměrným křížem napájeným baterií, kalibrovaným na ostrostřeleckou pušku VSS Vintorez. Dále kompatibilní i s puškami AK.","Ein seitlich montiertes Zielfernrohr mit 4-facher Vergrößerung und batteriebetriebenem Leuchtabsehen für das VSS Vintorez-Scharfschützengewehr. Auch mit anderen AK-Gewehren kompatibel.","Крепящийся сбоку 4-кратный прицел с устройством освещения сетки на батарейке. Откалиброван для снайперской винтовки VSS Vintorez. Также может использоваться с автоматами систем AK.","Montowana z boku luneta celownicza o powiększeniu 4x (z podświetlaną siatką). Skalibrowana pod karabin precyzyjny VSS Vintorez. Pasuje też do karabinów AK.","Side-mounted, 4x magnifying scope with battery-powered illuminated reticle calibrated for VSS Vintorez marksmen rifle. Otherwise compatible with AK based rifles.","Mirino montato lateralmente con ingrandimento 4x e reticolo illuminato alimentato a batteria, calibrato per fucile da tiratore scelto VSS Vintorez. È altrimenti compatibile con fucili di derivazione AK.","Una mira de montura lateral para el fusil de tirador VSS Vintorez, con lente de aumento x4 y una retícula calibrada que requiere batería. También es compatible con fusiles de base AK.","Lunette de grossissement 4x à fixation latérale et réticule éclairé par pile calibré pour le fusil de précision VSS Vintorez. Compatible avec les fusils de type AK.","4x 放大倍率的側邊瞄鏡，具電池式發光標線，依據 VSS Vintorez 特等射手步槍校準，也適用於 AK 系列步槍。","VSS Vintorez マークスマン・ライフルのために調整された電池式で光る十字線を持つ、側面取り付け型で 4x 倍率のスコープ。KA ベースのライフルとも互換性がある。","Side-mounted, 4x magnifying scope with battery-powered illuminated reticle calibrated for VSS Vintorez marksmen rifle. Otherwise compatible with AK based rifles.","侧装式 4 倍放大瞄准镜，配备专为 VSS Vintorez 精确射击步枪校准的电池供电照明分划板。",

"str_iz_cfgvehicles_pistolsuppressor0","Pistol Suppressor","Pistol Suppressor","Pistolový tlumič","Pistolen-Schalldämpfer","Пистолетный глушитель","Tłumik pistoletowy","Pistol Suppressor","Silenziatore per pistola","Silenciador de pistola","Silencieux de pistolet","手槍消音器","ピストル用サプレッサー","Pistol Suppressor","手枪声音抑制器",
"str_iz_cfgvehicles_pistolsuppressor1","A muzzle device for select pistols and submachine guns. Reduces sound intensity and muzzle flash generated by firing.","A muzzle device for select pistols and submachine guns. Reduces sound intensity and muzzle flash generated by firing.","Zařízení na ústí hlavně vybraných pistolí a samopalů. Při výstřelu snižuje intenzitu zvuku a záblesk z hlavně.","Laufaufsatz für diverse Pistolen und Maschinenpistolen. Verringert Lärm und Mündungsfeuer.","Глушитель для некоторых пистолетов и автоматов. Уменьшает громкость звука и дульное пламя при стрельбе.","Tłumik na pistolety i pistolety maszynowe. Tłumi dźwięki i zmniejsza rozbłysk po wystrzale.","A muzzle device for select pistols and submachine guns. Reduces sound intensity and muzzle flash generated by firing.","Congegno da montare alla volata di determinate pistole e mitra per ridurre l’intensità del suono e il flash di bocca generato dallo sparo.","Un dispositivo silenciador para una selección de pistolas y metralletas. Reduce tanto la intensidad del sonido como el fogonazo que se produce al disparar.","Un dispositif monté sur le canon de certains pistolets et pistolets mitrailleurs. Réduit l'intensité du son et du flash lumineux produits par le tir.","槍口配件，適用於某些手槍與機關槍。降低開槍時的聲音強度與槍口火光。","特定のピストルと短機関銃のための銃口装置。射撃の際に発生する音の強さと銃口の火花を減少させる。","A muzzle device for select pistols and submachine guns. Reduces sound intensity and muzzle flash generated by firing.","精选手枪和冲锋枪的枪口装置。可减少射击产生的声音强度和枪口焰。",

"str_iz_cfgvehicles_mp5_railhndgrd1","A rail handguard with vertical grip for MP5-K submachine gun. Allows mounting of additional accessories.","A rail handguard with vertical grip for MP5-K submachine gun. Allows mounting of additional accessories.","Předpažbí s lištami s vertikální rukojetí na samopal MP5-K. Umožňuje namontování dalších doplňků.","Schienen-Handschutz mit vertikalem Griff für die MP5-K-Maschinenpistole. Ermöglicht Anbringung weiterer Zubehörteile. ","Реечная ствольная накладка с вертикальным захватом для пистолета-пулемета MP5-K. Позволяет устанавливать различные приспособления.","Łoże z pionowym uchwytem do pistoletu maszynowego MP5-K. Umożliwia doczepianie dodatkowych akcesoriów.","A rail handguard with vertical grip for MP5-K submachine gun. Allows mounting of additional accessories.","Paramani da scanalatura con impugnatura verticale per mitra MP5-K. Consente di montare ulteriori accessori.","Una empuñadura de riel y agarre vertical para la metralleta MP5-K. Se le pueden enganchar accesorios adicionales.","Un garde-main avec manche vertical pour le pistolet mitrailleur MP5-K. Le rail permet l'ajout d'accessoires.","導軌扶手，含垂直握柄，適用 MP5-K 機關槍。可額外加裝配件。","MP5-K 短機関銃のための垂直のグリップが付いたレールハンドガード。追加で付属品を取り付けることができる。","A rail handguard with vertical grip for MP5-K submachine gun. Allows mounting of additional accessories.","MP5-K 冲锋枪的带垂直握把的钢轨护手。可安装额外的附件。",
"str_iz_cfgvehicles_mp5_railhndgrd0","MP5-K Rail Handguard","MP5-K Rail Handguard","Předpažbí s lištami MP5-K","MP5-K-Schienen-Handschutz","Реечная ствольная накладка MP5-K","Łoże MP5-K","MP5-K Rail Handguard","Paramani da scanalatura MP5-K","Empuñadura de riel MP5-K","Garde-main à rail de MP5-K","MP5-K 導軌扶手","MP5-K レールハンドガード","MP5-K Rail Handguard","MP5-K 钢轨护手",

"str_iz_cfgvehicles_mp5_plastichndgrd1","A polymer handguard with vertical grip for MP5-K submachine gun.","A polymer handguard with vertical grip for MP5-K submachine gun.","Polymerové předpažbí s vertikální rukojetí na samopal MP5-K.","Polymer-Handschutz mit vertikalem Griff für die MP5-K-Maschinenpistole.","Полимерная ствольная накладка с вертикальным захватом для пистолета-пулемета MP5-K.","Polimerowe łoże lufy z pionowym uchwytem do pistoletu maszynowego MP5-K.","A polymer handguard with vertical grip for MP5-K submachine gun.","Paramani in polimero con impugnatura verticale per mitra MP5-K.","Una empuñadura de polímero y agarre vertical para la metralleta MP5-K.","Un garde-main en polymère avec manche vertical pour le pistolet mitrailleur MP5-K.","聚合物扶手，含垂直握柄，適用 MP5-K 機關槍。","MP5-K 短機関銃のための垂直のグリップが付いたポリマーハンドガード。","A polymer handguard with vertical grip for MP5-K submachine gun.","MP5-K 冲锋枪的带垂直握把的聚合物护手。",
"str_iz_cfgvehicles_mp5_plastichndgrd0","MP5-K Polymer Handguard","MP5-K Polymer Handguard","Polymerové předpažbí MP5-K","MP5-K-Polymer-Handschutz","Полимерное цевьё MP5-K","Polimerowe łoże lufy MP5-K","MP5-K Polymer Handguard","Paramani in polimero MP5-K","Empuñadura de polímero MP5-K","Garde-main polymère de MP5-K","MP5-K 聚合物扶手","MP5-K ポリマーハンドガード","MP5-K Polymer Handguard","MP5-K 聚合物护手",

"str_iz_cfgvehicles_mp5k_stockbttstck1","A folding buttstock for MP5-K submachine gun.","A folding buttstock for MP5-K submachine gun.","Skládací pažba samopalu MP5-K.","Faltbare Schulterstütze für die MP5-K-Maschinenpistole.","Складной приклад для пистолета-пулемета MP5-K.","Składana kolba do pistoletu maszynowego MP5-K.","A folding buttstock for MP5-K submachine gun.","Calcio pieghevole per mitra MP5-K.","Una culata plegable para una metralleta MP5-K.","Une crosse pliante pour le pistolet mitrailleur MP5-K.","摺疊式槍托，適用 MP5-K 機關槍。","MP5-K 短機関銃のための折り畳み式銃床。","A folding buttstock for MP5-K submachine gun.","MP5-K 冲锋枪的折叠枪托。",
"str_iz_cfgvehicles_mp5k_stockbttstck0","MP5-K Folding buttstock","MP5-K Folding buttstock","Skládací pažba MP5-K","Faltbare MP5-K-Schulterstütze","Складной приклад для MP5-K","Składana kolba MP5-K","MP5-K Folding buttstock","Calcio pieghevole MP5-K","Culata plegable MP5-K","Crosse pliante de MP5-K","MP5-K 摺疊式槍托","MP5-K 折り畳み式銃床","MP5-K Folding buttstock","MP5-K 折叠枪托",

"str_iz_cfgvehicles_mp5_compensator1","A muzzle device for MP5-K submachine gun. Used to counter recoil during firing.","A muzzle device for MP5-K submachine gun. Used to counter recoil during firing.","Zařízení na ústí hlavně samopalu MP5-K. Používá se k potlačení zpětného rázu při střelbě.","Laufaufsatz für die MP5-K-Maschinenpistole. Verringert den Rückstoß.","Глушитель для пистолета-пулемета MP5-K. Используется для уменьшения отдачи во время стрельбы.","Hamulec wylotowy do pistoletu maszynowego MP5-K. Ogranicza odrzut przy strzelaniu.","A muzzle device for MP5-K submachine gun. Used to counter recoil during firing.","Congegno da montare alla volata del mitra MP5-K per contrastare il rinculo durante lo sparo.","Un silenciador para la metralleta MP5-K. Se usa para contrarrestar el retroceso al disparar.","Un accessoire de canon pour le pistolet mitrailleur MP5-K. Permet de contrer le recul lors du tir.","槍口配件，適用 MP5-K 機關槍。用於抵銷開槍時的後座力。","MP5-K 短機関銃のための銃口装置。射撃時の反動を和らげるために使用できる。","A muzzle device for MP5-K submachine gun. Used to counter recoil during firing.","MP5-K 冲锋枪的枪口装置。用于在射击时抵制后坐力。",
"str_iz_cfgvehicles_mp5_compensator0","MP5-K Compensator","MP5-K Compensator","Kompenzátor MP5-K","MP5-K-Kompensator","Надульник MP5-K","Kompensator odrzutu MP5-K","MP5-K Compensator","Compensatore MP5-K","Compensador de retroceso MP5-K","Compensateur de MP5-K","MP5-K 補償器","MP5-K コンペンセイター","MP5-K Compensator","MP5-K 补偿器",

"str_iz_cfgvehicles_mosin_compensator1","A muzzle device for Mosin 91/30 rifle. Used to counter recoil during firing.","A muzzle device for Mosin 91/30 rifle. Used to counter recoil during firing.","Zařízení na ústí hlavně pušky Mosin 91/30. Používá se k potlačení zpětného rázu při střelbě.","Laufaufsatz für das Mosin 91/30. Verringert den Rückstoß.","Глушитель для винтовки Mosin 91/30. Используется для уменьшения отдачи во время стрельбы.","Hamulec wylotowy do karabinu Mosin 91/30. Ogranicza odrzut przy strzelaniu.","A muzzle device for Mosin 91/30 rifle. Used to counter recoil during firing.","Congegno da montare alla volata del fucile Mosin 91/30 per contrastare il rinculo.","Un silenciador para el fusil Mosin 91/30. Se usa para contrarrestar el retroceso al disparar.","Un accessoire de canon pour le fusil Mosin 91/30. Permet de contrer le recul lors du tir.","槍口配件，適用於 Mosin 91/30 步槍。用於抵銷開槍時的後座力。","モシン 91/30 ライフルのための銃口装置。射撃時の反動を和らげるために使用できる。","A muzzle device for Mosin 91/30 rifle. Used to counter recoil during firing.","Mosin 91/30 步枪的枪口装置。用于在射击时抵消后坐力。",
"str_iz_cfgvehicles_mosin_compensator0","Mosin 91/30 Compensator","Mosin 91/30 Compensator","Kompenzátor Mosin 91/30","Mosin 91/30-Kompensator","Надульник Mosin 91/30","Kompensator odrzutu Mosin 91/30","Mosin 91/30 Compensator","Compensatore Mosin 91/30","Compensador Mosin 91/30","Compensateur de Mosin 91/30","Mosin 91/30 補償器","モシン 91/30 コンペンセイター","Mosin 91/30 Compensator","Mosin 91/30 补偿器",

"str_iz_cfgvehicles_mosin_bayonet1","A bayonet for Mosin 91/30 rifle with a bayonet lug.","A bayonet for Mosin 91/30 rifle with a bayonet lug.","Bajonet na pušku Mosin 91/30 s montáží na bajonet.","Ein Bajonett für das Mosin 91/30-Gewehr mit Bajonettaufsatz.","Штык для винтовки Мосина обр. 1891/30 гг. с выступом для крепления штыка.","Bagnet na karabin Mosin 91/30 z odpowiednim uchwytem.","A bayonet for Mosin 91/30 rifle with a bayonet lug.","Una baionetta per fucile Mosin 91/30 con un attacco per baionetta.","Una bayoneta para el fusil Mosin 91/30, con un agarre de bayoneta.","Une baïonnette pouvant être fixée au fusil Mosin 91/30.","刺刀，可加裝在有刺刀座的 Mosin 91/30 步槍。","着剣ラグのあるモシン 91/30 ライフルのための銃剣。","A bayonet for Mosin 91/30 rifle with a bayonet lug.","一种带有刺刀座的 Mosin 91/30 步枪的刺刀。",
