"Language",										"original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",

"str_cfgvehicles_m9a1_bayonet0",				"M4-A1 Bayonet","M4-A1 Bayonet","Bajonet M4-A1","M4-A1-Bajonett","Штык для M4-A1","Bagnet M4-A1","M4-A1 Bayonet","Baionetta M4-A1","Bayoneta para M4-A1","Baïonnette de M4-A1","M4-A1 刺刀","M4-A1 銃剣","M4-A1 Bayonet","M4-A1 刺刀",
"str_cfgvehicles_m9a1_bayonet1",				"A bayonet for M4-A1 assault rifle with a bayonet lug.","A bayonet for M4-A1 assault rifle with a bayonet lug.","Bajonet na útočnou pušku M4-A1 s montáží na bajonet.","Ein Bajonett für das M4-A1-Sturmgewehr mit Bajonettaufsatz.","Штык для автомата M4-A1 с выступом для крепления штыка.","Bagnet na karabin M4-A1 z odpowiednim uchwytem.","A bayonet for M4-A1 assault rifle with a bayonet lug.","Una baionetta per fucile d’assalto M4-A1 dotato di attacco per baionetta.","Una bayoneta para el fusil de asalto M4-A1, con un agarre de bayoneta.","Une baïonnette pouvant être fixée au fusil d'assaut M4-A1.","刺刀，可加裝在有刺刀座的 M4-A1 突擊步槍。","着剣ラグのある M4-A1 アサルトライフルのための銃剣。","A bayonet for M4-A1 assault rifle with a bayonet lug.","一种带有刺刀座的 M4-A1 突击步枪的刺刀。",

"str_cfgvehicles_m4_suppressor0",				"Standardized Suppressor","Standardized Suppressor","Standardizovaný tlumič","Standardisierter Schalldämpfer","Стандартный глушитель","Standardowy tłumik","Standardized Suppressor","Silenziatore standardizzato","Silenciador estándar","Silencieux standardisé","標準消音器","標準サプレッサー","Standardized Suppressor","标准化抑制器",
"str_cfgvehicles_m4_suppressor1",				"A muzzle device for select rifles used by alliance forces. Reduces sound intensity and muzzle flash generated by firing.","A muzzle device for select rifles used by alliance forces. Reduces sound intensity and muzzle flash generated by firing.","Zařízení na ústí hlavně na vybrané pušky aliančních sil. Při výstřelu snižuje intenzitu zvuku a záblesk z hlavně.","Ein Laufaufsatz für diverse Gewehre, das von den Allianzstreitkräften eingesetzt wurde. Reduziert Lärm und Mündungsfeuer.","Глушитель для некоторых винтовок, состоящих на вооружении сил альянса. Уменьшает громкость звука и дульное пламя при стрельбе.","Tłumik do wybranych karabinów wykorzystywanych przez siły przymierza. Tłumi dźwięki i zmniejsza rozbłysk po wystrzale.","A muzzle device for select rifles used by alliance forces. Reduces sound intensity and muzzle flash generated by firing.","Congegno da montare alla volata di determinati fucili utilizzati dalle forze dell’alleanza per ridurre l’intensità del suono e il flash di bocca generato dallo sparo.","Un dispositivo silenciador para una selección de fusiles de las tropas de la Alianza. Reduce tanto la intensidad del sonido como el fogonazo que se produce al disparar.","Un dispositif monté sur le canon de certains fusils de l'Alliance. Réduit l'intensité du son et du flash lumineux produits par le tir.","槍口配件，適用於盟軍的某些步槍。降低開槍時的聲音強度與槍口火光。","同盟軍によって使用される特定のライフルのための銃口装置。射撃の際に発生する音の強さと銃口の火花を減少させる。","A muzzle device for select rifles used by alliance forces. Reduces sound intensity and muzzle flash generated by firing.","联盟部队使用的精选步枪的枪口装置。可减少射击产生的声音强度和枪口焰。",

"str_cfgvehicles_m4_rishndgrd0",				"M4-A1 Rail Handguard","M4-A1 Rail Handguard","Předpažbí s lištami M4-A1","M4-A1-Schienen-Handschutz","Реечное цевьё M4-A1","Łoże lufy M4-A1","M4-A1 Rail Handguard","Paramani da scanalatura M4-A1","Empuñadura de riel M4-A1","Garde-main à rail de M4-A1","M4-A1 導軌扶手","M4-A1 レールハンドガード","M4-A1 Rail Handguard","M4-A1 钢轨护手",
"str_cfgvehicles_m4_rishndgrd1",				"A rail handguard for M4-A1 assault rifle. Allows mounting of additional accessories.","A rail handguard for M4-A1 assault rifle. Allows mounting of additional accessories.","Předpažbí s lištami na útočnou pušku M4-A1. Umožňuje namontování dalších doplňků.","Schienen-Handschutz für das M4-A1-Sturmgewehr. Ermöglicht Anbringung weiterer Zubehörteile.","Реечная ствольная накладка для автомата M4-A1. Позволяет устанавливать различные приспособления.","Łoże do karabinu szturmowego M4-A1. Umożliwia doczepianie dodatkowych akcesoriów.","A rail handguard for M4-A1 assault rifle. Allows mounting of additional accessories.","Paramani da scanalatura per il fucile d’assalto M4-A1. Consente di montare ulteriori accessori.","Una empuñadura de riel para el fusil de asalto M4-A1. Se le pueden enganchar accesorios adicionales.","Un garde-main pour le fusil d'assaut M4-A1. Le rail permet l'ajout d'accessoires.","導軌扶手，適用 M4-A1 突擊步槍。可額外加裝配件。","M4-A1 アサルトライフルのためのレールハンドガード。追加で付属品を取り付けることができる。","A rail handguard for M4-A1 assault rifle. Allows mounting of additional accessories.","M4-A1 突击步枪的钢轨护手。可安装额外的附件。",

"str_cfgvehicles_m4_plastichndgrd0",			"M4-A1 Polymer Handguard","M4-A1 Polymer Handguard","Polymerové předpažbí M4-A1","M4-A1-Polymer-Handschutz","Полимерное цевьё M4-A1","Polimerowe łoże lufy M4-A1","M4-A1 Polymer Handguard","Paramani in polimero M4-A1","Empuñadura de polímero M4-A1","Garde-main polymère de M4-A1","M4-A1 聚合物扶手","M4-A1 ポリマーハンドガード","M4-A1 Polymer Handguard","M4-A1 聚合物护手",
"str_cfgvehicles_m4_plastichndgrd1",			"A polymer handguard for M4-A1 assault rifle.","A polymer handguard for M4-A1 assault rifle.","Polymerové předpažbí na útočnou pušku M4-A1.","Polymer-Handschutz für das M4-A1-Sturmgewehr.","Полимерная ствольная накладка для автомата M4-A1.","Polimerowe łoże do karabinu szturmowego M4-A1.","A polymer handguard for M4-A1 assault rifle.","Paramani in polimero per il fucile d’assalto M4-A1.","Una empuñadura de polímero para el fusil de asalto M4-A1.","Un garde-main en polymère pour fusil d'assaut M4-A1.","聚合物扶手，適用 M4-A1 突擊步槍。","M4-A1 アサルトライフルのためのポリマーハンドガード。","A polymer handguard for M4-A1 assault rifle.","M4-A1 突击步枪的聚合物护手。",

"str_cfgvehicles_m4_oebttstck0",				"M4-A1 Telescopic Buttstock","M4-A1 Telescopic Buttstock","Teleskopická pažba M4-A1","Ausziehbare M4-A1-Schulterstütze","Складной приклад для M4-A1","Teleskopowa kolba M4-A1","M4-A1 Telescopic Buttstock","Calcio telescopico M4-A1","Culata telescópica M4-A1","Crosse télescopique de M4-A1","M4-A1 伸縮式槍托","M4-A1 伸縮式銃床","M4-A1 Telescopic Buttstock","M4-A1 伸缩式枪托",
"str_cfgvehicles_m4_oebttstck1",				"A telescopic buttstock for M4-A1 assault rifle.","A telescopic buttstock for M4-A1 assault rifle.","Teleskopická pažba na útočnou pušku M4-A1.","Ausziehbare Schulterstütze für das M4-A1-Sturmgewehr.","Телескопический приклад для автомата M4-A1.","Teleskopowa kolba do karabinu szturmowego M4-A1.","A telescopic buttstock for M4-A1 assault rifle.","Calcio telescopico per il fucile d’assalto M4-A1.","Una culata telescópica para el fusil de asalto M4-A1.","Une crosse télescopique pour fusil d'assaut M4-A1.","伸縮式槍托，適用 M4-A1 突擊步槍。","M4-A1 アサルトライフルのための伸縮式銃床。","A telescopic buttstock for M4-A1 assault rifle.","M4-A1 突击步枪的伸缩式枪托。",

"str_cfgvehicles_m4_mphndgrd0",					"M4-A1 MP Handguard","M4-A1 MP Handguard","Předpažbí M4-A1 MP","M4-A1-MP-Handschutz","Цевьё MP для M4-A1","Łoże lufy MP M4-A1","M4-A1 MP Handguard","Paramani MP M4-A1","Empuñadura para M4-A1 MP","Garde-main MP de M4-A1","M4-A1 MP 扶手","M4-A1 MP ハンドガード","M4-A1 MP Handguard","M4-A1 MP 护手",
"str_cfgvehicles_m4_mphndgrd1",					"A MP series handguard for M4-A1 assault rifle.","A MP series handguard for M4-A1 assault rifle.","Předpažbí série MP na útočnou pušku M4-A1.","Ein Handschutz der MP-Serie für das M4-A1-Sturmgewehr.","Ствольная накладка серии MP для автомата M4-A1.","Łoże z serii MP do karabinu szturmowego M4-A1.","A MP series handguard for M4-A1 assault rifle.","Paramani serie MP per il fucile d’assalto M4-A1.","Una empuñadura de serie MP para el fusil de asalto M4-A1.","Un garde-main de la série MP pour le fusil d'assaut M4-A1.","MP 系列扶手，適用 M4-A1 突擊步槍。","M4-A1 アサルトライフルのための MP シリーズハンドガード。","A MP series handguard for M4-A1 assault rifle.","M4-A1 突击步枪的 MP 系列护手。",

"str_cfgvehicles_m4_mpbttstck0",				"M4-A1 MP Buttstock","M4-A1 MP Buttstock","Pažba M4-A1 MP","M4-A1-MP-Schulterstütze","Приклад MP для M4-A1","Kolba MP M4-A1","M4-A1 MP Buttstock","Calcio MP M4-A1","Culata M4-A1 MP","Crosse MP de M4-A1","M4-A1 MP 槍托","M4-A1 MP 銃床","M4-A1 MP Buttstock","M4-A1 MP 枪托",
"str_cfgvehicles_m4_mpbttstck1",				"A MP series buttstock for M4-A1 assault rifles.","A MP series buttstock for M4-A1 assault rifles.","Pažba série MP na útočnou pušku M4-A1.","Eine Schulterstütze der MP-Serie für das M4-A1-Sturmgewehr.","Приклад серии MP для автомата M4-A1.","Kolba z serii MP do karabinu szturmowego M4-A1.","A MP series buttstock for M4-A1 assault rifles.","Calcio serie MP per fucili d’assalto M4-A1.","Una culata de serie MP para fusiles de asalto M4-A1.","Une crosse de la série MP pour le fusil d'assaut M4-A1.","MP 系列槍托，適用 M4-A1 突擊步槍。","M4-A1 アサルトライフルのための MP シリーズ銃床。","A MP series buttstock for M4-A1 assault rifles.","M4-A1 突击步枪的 MP 系列枪托。",

"str_cfgvehicles_m4_cqbbttstck0",				"M4-A1 CQB Buttstock","M4-A1 CQB Buttstock","Pažba M4-A1 CQB","M4-A1-CQB-Schulterstütze","Короткий приклад M4-A1","Kolba CQB M4-A1","M4-A1 CQB Buttstock","Calcio CQB M4-A1","Culata M4-A1 CQB","Crosse CQB de M4-A1","M4-A1 近戰槍托","M4-A1 CQB 銃床","M4-A1 CQB Buttstock","M4-A1 CQB 枪托",
"str_cfgvehicles_m4_cqbbttstck1",				"A CQB buttstock for M4-A1 assault rifles.","A CQB buttstock for M4-A1 assault rifles.","Pažba CQB na útočnou pušku M4-A1.","Eine Nahkampf-Schulterstütze für das M4-A1-Sturmgewehr.","Приклад для ближнего боя для автоматов M4-A1.","Kolba CQB do karabinu szturmowego M4-A1.","A CQB buttstock for M4-A1 assault rifles.","Calcio CQB per fucili d’assalto M4-A1.","Una culata CBQ para fusiles de asalto M4-A1.","Une crosse CQB pour le fusil d'assaut M4-A1.","近戰槍托，適用 M4-A1 突擊步槍。","M4-A1 アサルトライフルのための CQB 銃床。","A CQB buttstock for M4-A1 assault rifles.","M4-A1 突击步枪的 CQB 枪托。",

"str_cfgvehicles_m4_carryhandleoptic0",			"M4-A1 Carry Handle Sights","M4-A1 Carry Handle Sights","Rukojeť s mířidly M4-A1","M4-A1-Tragegriff-Visier","Прицел M4-A1 с рукояткой для переноски","Uchwyt z celownikiem M4-A1","M4-A1 Carry Handle Sights","Ottiche a maniglione M4-A1","Mira de asa M4-A1","Poignée à viseur de M4-A1","M4-A1 提把瞄具","M4-A1 キャリングハンドル照準器","M4-A1 Carry Handle Sights","M4-A1 把手瞄具",
"str_cfgvehicles_m4_carryhandleoptic1",			"A standardized rail-mounted carry handle with iron sights designed for M4-A1 assault rifle.","A standardized rail-mounted carry handle with iron sights designed for M4-A1 assault rifle.","Standardizovaná transportní rukojeť s lištou a mířidly určená na útočnou pušku M4-A1.","Standardisierter, schienengeführter Tragegriff mit Kimme und Korn für das M4-A1-Sturmgewehr.","Стандартная реечная рукоятка для переноски с механическим прицелом, разработанным для автомата M4-A1.","Doczepiany do szyny uniwersalny uchwyt z celownikiem do karabinu szturmowego M4-A1.","A standardized rail-mounted carry handle with iron sights designed for M4-A1 assault rifle.","Ottiche metalliche a maniglione montate su scanalatura e standardizzate progettate per il fucile d’assalto M4-A1.","Un asa de riel estándar, con una mira de hierro, diseñada para el fusil de asalto M4-A1.","Une poignée standard sur rail avec viseur pour mire. Pour le fusil d'assaut M4-A1.","標準導軌式瞄具，含提把，適用於 M4-A1 突擊步槍。","M4-A1 アサルトライフルのためにデザインされ、アイアンサイトを持つ、標準化されたレール取り付け型のキャリングハンドル。","A standardized rail-mounted carry handle with iron sights designed for M4-A1 assault rifle.","为 M4-A1 突击步枪设计的标准化轨道式把手，带机械瞄具。",

"str_cfgvehicles_kashtanoptic0",				"P1-87-L Scope","P1-87-L Scope","Optika P1-87-L","P1-87-L-Zielfernrohr","Прицел P1-87-L","Luneta P1-87-L","P1-87-L Scope","Mirino P1-87-L","Mira P1-87-L","Lunette P1-87-L","P1-87-L 瞄鏡","P1-87-L スコープ","P1-87-L Scope","P1-87-L 瞄准镜",
"str_cfgvehicles_kashtanoptic1",				"Short-ranged mounted scope with 2.8x magnification factor. Compatible with AK based rifles.","Short-ranged mounted scope with 2.8x magnification factor. Compatible with AK based rifles.","Optika s montáží se zvětšením 2,8x na krátkou vzdálenost. Kompatibilní s puškami AK.","Montiertes Zielfernrohr für kurze Distanzen mit 2,8-facher Vergrößerung. Kompatibel mit AK-Gewehren.","Прицел ближнего действия с 2,8-кратным увеличением. Совместим с винтовками AK.","Krótkodystansowa luneta celownicza z powiększeniem 2,8x. Pasuje do karabinów AK.","Short-ranged mounted scope with 2.8x magnification factor. Compatible with AK based rifles.","Mirino a corta distanza montato con fattore di ingrandimento 2.8x. Compatibile con fucili di derivazione AK.","Mira montada de corto alcance, con un factor de 2,8 aumentos. Compatible con fusiles basados en la clase AK.","Une lunette courte distance de grossissement 2,8x pour les fusils de type AK.","安裝式的短距瞄鏡，具有 2.8x 放大倍率。適用於 AK 系列步槍。","2.8x 拡大比率の近距離用搭載型スコープ。KA ベースのライフルと互換性がある。","Short-ranged mounted scope with 2.8x magnification factor. Compatible with AK based rifles.","2.8x 放大倍率短距离安装式瞄准镜。兼容 AK 型步枪。",

"str_cfgvehicles_improvisedsuppressor0",		"Plastic Bottle Suppressor","Plastic Bottle Suppressor","Tlumič z plastové lahve","Plastikflaschen-Schalldämpfer","Самодельный глушитель","Tłumik z butelki plastikowej","Plastic Bottle Suppressor","Silenziatore di plastica","Botella de plástico silenciadora","Silencieux improvisé","寶特瓶消音器","ペットボトルのサプレッサー","Plastic Bottle Suppressor","塑料瓶抑制器",
"str_cfgvehicles_improvisedsuppressor1",		"An improvised muzzle device for firearms. Reduces sound intensity and muzzle flash generated by firing. Very flimsy.","An improvised muzzle device for firearms. Reduces sound intensity and muzzle flash generated by firing. Very flimsy.","Improvizované zařízení na ústí hlavně střelných zbraní. Při výstřelu snižuje intenzitu zvuku a záblesk z hlavně. Dost křehké.","Improvisierter Laufaufsatz für Schusswaffen. Reduziert Lärm und Mündungsfeuer. Sehr zerbrechlich.","Самодельный глушитель для огнестрельного оружия. Уменьшает громкость звука и дульное пламя при стрельбе. Очень ненадежный.","Improwizowany tłumik na broń palną. Tłumi dźwięki i zmniejsza rozbłysk po wystrzale. Niezbyt wytrzymały.","An improvised muzzle device for firearms. Reduces sound intensity and muzzle flash generated by firing. Very flimsy.","Soluzione improvvisata da montare alla volata delle armi da fuoco per ridurre l’intensità del suono e il flash di bocca generato dallo sparo. Molto fragile.","Un dispositivo silenciador improvisado para las armas de fuego. Reduce tanto la intensidad del sonido como el fogonazo que se produce al disparar. Muy poco resistente.","Un silencieux en bouteille plastique s'insérant sur le canon d'une arme. Réduit l'intensité du son et du flash lumineux produits par le tir. Peu fiable.","就地取材製作的槍口配件。降低開槍時的聲音強度與槍口火光。非常脆弱。","銃火器のための即席の銃口装置。射撃の際に発生する音の強さと銃口の火花を減少させる。","An improvised muzzle device for firearms. Reduces sound intensity and muzzle flash generated by firing. Very flimsy.","枪支的简易枪口装置。可减少射击产生的声音强度和枪口焰。很不结实。",

"str_cfgvehicles_huntingoptic0",				"Hunting Scope","Hunting Scope","Lovecká optika","Jagdzielfernrohr","Охотничий прицел","Luneta myśliwska","Hunting Scope","Mirino da caccia","Mira de caza","Lunette de chasse","狩獵瞄鏡","狩猟用スコープ","Hunting Scope","狩猎瞄准镜",
"str_cfgvehicles_huntingoptic1",				"A mounted 4x-8x-12x variable magnification hunting scope. Simple, robust and precise, compatible with most hunting rifles. ","A mounted 4x-8x-12x variable magnification hunting scope. Simple, robust and precise, compatible with most hunting rifles.","Lovecká optika s variabilním zvětšením 4x, 8x a 12x s montáží. Jednoduchá, odolná a přesná. Kompatibilní s většinou loveckých pušek. ","Ein montiertes Jadgzielfernrohr mit variabler Vergrößerung (4-fach/8-fach/12-fach). Einfach, robust und präzise. Kompatibel mit den meisten Jagdgewehren.","Крепящийся охотничий прицел с переменным 4-, 8- и 12-кратным увеличением. Простой, надежный и точный. Совместим с большинством охотничьих ружей. ","Myśliwska luneta celownicza ze zmiennym powiększeniem (4x, 8x, 12x). Prosta, solidna i precyzyjna. Pasuje do większości karabinów myśliwskich. ","A mounted 4x-8x-12x variable magnification hunting scope. Simple, robust and precise, compatible with most hunting rifles. ","Mirino da caccia montato con ingrandimento variabile 4x-8x-12x. Semplice, preciso e robusto, è compatibile con la maggior parte dei fucili da caccia. ","Una mira de caza montada, con aumentos variables de 4x-8x-12x. Es sencilla, robusta, precisa y compatible con la mayoría de las escopetas de caza. ","Une lunette de grossissement 4x/8x/12x à fixation latérale, compatible avec la plupart des fusils de chasse. Simple, résistante, précise.","具有 4x-8x-12x 可調整放大倍率、安裝式的狩獵瞄鏡。款式簡單、耐用而準確，可搭配大多數的狩獵步槍。","取り付け型 4x-8x-12x の可変倍率狩猟スコープ。シンプルで頑丈で正確で、さらに大半の狩猟用ライフルと互換性がある。","A mounted 4x-8x-12x variable magnification hunting scope. Simple, robust and precise, compatible with most hunting rifles. ","一种安装式 4x-8x-12x 可变放大率狩猎瞄准镜。简单、耐用、精确，与大多数猎枪兼容。",

"str_cfgvehicles_fal_oebttstck0",				"FN FAL Polymer Buttstock","FN FAL Polymer Buttstock","Polymerová pažba FN FAL","FN FAL-Polymer-Schulterstütze","Полимерный приклад FN FAL","Polimerowa kolba FN FAL","FN FAL Polymer Buttstock","Calcio in polimero FN FAL","Culata de polímero FN FAL","Crosse polymère de FN FAL","FN FAL 聚合物槍托","FN FAL ポリマー銃床","FN FAL Polymer Buttstock","FN FAL 聚合物枪托",
"str_cfgvehicles_fal_oebttstck1",				"A polymer buttstock for the FN FAL battle rifle.","A polymer buttstock for the FN FAL battle rifle.","Polymerová pažba na bojovou pušku FN FAL.","Eine Polymer-Schulterstütze für das FN FAL-Kampfgewehr.","Полимерный приклад для автоматической винтовки FN FAL.","Polimerowa kolba do karabinu bojowego FN FAL.","A polymer buttstock for the FN FAL battle rifle.","Calcio in polimero per il fucile da battaglia FN FAL.","Una culata de polímero para el fusil de combate FN FAL.","Une crosse en polymère pour le fusil d’assaut FN FAL.","聚合物槍托，適用 FN FAL 戰鬥步槍。","FN FAL バトルライフルのためのポリマー銃床。","A polymer buttstock for the FN FAL battle rifle.","FN FAL 战斗步枪的聚合物枪托。",

"str_cfgvehicles_fal_foldingbttstck0",			"FN FAL Folding Buttstock","FN FAL Folding Buttstock","Skládací pažba FN FAL","Faltbare FN FAL-Schulterstütze","Складной приклад FN FAL","Składana polimerowa kolba FN FAL","FN FAL Folding Buttstock","Calcio pieghevole FN FAL","Culata plegable FN FAL","Crosse pliante de FN FAL","FN FAL 摺疊式槍托","FN FAL 折り畳み式銃床","FN FAL Folding Buttstock","FN FAL 折叠枪托",
"str_cfgvehicles_fal_foldingbttstck1",			"A folding buttstock for the FN FAL battle rifle.","A folding buttstock for the FN FAL battle rifle.","Skládací pažba na bojovou pušku FN FAL.","Eine faltbare Schulterstütze für das FN FAL-Kampfgewehr.","Складной приклад для автоматической винтовки FN FAL.","Składana polimerowa kolba do karabinu bojowego FN FAL.","A folding buttstock for the FN FAL battle rifle.","Calcio pieghevole per il fucile da battaglia FN FAL.","Una culata plegable para el fusil de combate FN FAL.","Une crosse pliante pour le fusil d’assaut FN FAL.","摺疊式槍托，適用 FN FAL 戰鬥步槍。","FN FAL バトルライフルのための折り畳み式銃床。","A folding buttstock for the FN FAL battle rifle.","FN FAL 战斗步枪的折叠枪托。",

"str_cfgvehicles_buisoptic0",					"Backup Iron Sights","Backup Iron Sights","Záložní železná mířidla","Sekundäres „Kimme und Korn“-Visier","Запасной механический прицел","Zapasowy celownik","Backup Iron Sights","Ottiche metalliche di supporto","Refuerzo de mira de hierro","Mire supplémentaire","備用瞄具","予備アイアンサイト","Backup Iron Sights","备用机械瞄具",
"str_cfgvehicles_buisoptic1",					"Standardized rail-mounted backup iron sights designed for M4-A1 assault rifle.","Standardized rail-mounted backup iron sights designed for M4-A1 assault rifle.","Standardizovaná záložní železná mířidla s montáží na lištu určená na útočnou pušku M4-A1.","Standardisiertes, schienengeführtes, sekundäres „Kimme und Korn“-Visier für das M4-A1-Sturmgewehr.","Запасной стандартный реечный механический прицел, разработанный для автомата M4-A1.","Doczepiany do szyny uniwersalny celownik zapasowy do karabinu szturmowego M4-A1.","Standardized rail-mounted backup iron sights designed for M4-A1 assault rifle.","Ottiche metalliche di supporto montate su scanalatura e standardizzate progettate per il fucile d’assalto M4-A1.","Un refuerzo de riel estándar, con una mira de hierro, diseñado para el fusil de asalto M4-A1.","Une mire standardisée supplémentaire montée sur rail. Pour le fusil d'assaut M4-A1.","標準導軌式備用瞄具，適用於 M4-A1 突擊步槍。","M4-A1 アサルトライフルのためにデザインされた、標準化されたレール取り付け型の予備アイアンサイト。","Standardized rail-mounted backup iron sights designed for M4-A1 assault rifle.","为 M4-A1 突击步枪设计的标准化轨道式备用机械瞄具。",

"str_cfgvehicles_ak_woodhndgrd0",				"AK Wooden Handguard","AK Wooden Handguard","Dřevěné předpažbí AK","AK-Handschutz (Holz)","Деревянное цевьё AK","Drewniane łoże lufy AK","AK Wooden Handguard","Paramani in legno AK","Empuñadura de madera AK","Garde-main en bois de AK","AK 木質扶手","AK 木製ハンドガード","AK Wooden Handguard","AK 木制护手",
"str_cfgvehicles_ak_woodhndgrd1",				"A wooden handguard for AK based assault rifle.","A wooden handguard for AK based assault rifle.","Dřevěné předpažbí útočné pušky AK.","Ein hölzerner Handschutz für AK-basierte Sturmgewehre.","Деревянная ствольная накладка для автомата системы AK.","Drewniane łoże do karabinu szturmowego AK.","A wooden handguard for AK based assault rifle.","Paramani in legno per fucili d’assalto di derivazione AK.","Una empuñadura de madera para fusiles de asalto tipo AK.","Un garde-main en bois pour les fusils d'assaut de type AK.","木質扶手，適用 AK 系列突擊步槍。","AK ベースのアサルトライフルのための木製のハンドガード。","A wooden handguard for AK based assault rifle.","AK 型突击步枪的木制护手。",

"str_cfgvehicles_ak_woodbttstck0",				"AK Wooden Buttstock","AK Wooden Buttstock","Dřevěná pažba AK","AK-Schulterstütze (Holz)","Деревянный приклад AK","Drewniana kolba AK","AK Wooden Buttstock","Calcio in legno AK","Culata de madera AK","Crosse en bois de AK","AK 木質槍托","AK 木製銃床","AK Wooden Buttstock","AK 木制枪托",
"str_cfgvehicles_ak_woodbttstck1",				"A wooden buttstock for AK based assault rifle.","A wooden buttstock for AK based assault rifle.","Dřevěná pažba na útočné pušky AK.","Eine hölzerne Schulterstütze für AK-basierte Sturmgewehre.","Деревянный приклад для автомата системы AK.","Drewniana kolba do karabinu szturmowego AK.","A wooden buttstock for AK based assault rifle.","Calcio in legno per fucili d’assalto di derivazione AK.","Una culata de madera para fusiles de asalto tipo AK.","Une crosse en bois pour les fusils d'assaut de type AK.","木質槍托，適用 AK 系列突擊步槍。","AK ベースのアサルトライフルのための木製の銃床。","A wooden buttstock for AK based assault rifle.","AK 型突击步枪的木制枪托。",

"str_cfgvehicles_ak_suppressor0",				"Normalized Suppressor","Normalized Suppressor","Normalizovaný tlumič","Normierter Schalldämpfer","Обычный глушитель","Zwykły tłumik","Normalized Suppressor","Silenziatore normalizzato","Silenciador normalizado","Silencieux normalisé","一般型消音器","正規化サプレッサー","Normalized Suppressor","规范化声音抑制器",
"str_cfgvehicles_ak_suppressor1",				"A muzzle device for select rifles used by Eastern forces. Reduces sound intensity and muzzle flash generated by firing.","A muzzle device for select rifles used by Eastern forces. Reduces sound intensity and muzzle flash generated by firing.","Zařízení na ústí hlavně na vybrané pušky východních sil. Při výstřelu snižuje intenzitu zvuku a záblesk z hlavně.","Laufaufsatz für diverse Gewehre der östlichen Streitkräfte. Reduziert Lärm und Mündungsfeuer.","Глушитель для некоторых винтовок, состоящих на вооружении стран восточного блока. Уменьшает громкость звука и дульное пламя при стрельбе.","Tłumik do wybranych karabinów używanych przez siły Wschodu. Tłumi dźwięki i zmniejsza rozbłysk po wystrzale.","A muzzle device for select rifles used by Eastern forces. Reduces sound intensity and muzzle flash generated by firing.","Congegno da montare alla volata di determinati fucili utilizzati dalle forze dell’est per ridurre l’intensità del suono e il flash di bocca generato dallo sparo.","Un dispositivo silenciador para una selección de fusiles de las tropas del Este. Reduce tanto la intensidad del sonido como el fogonazo que se produce al disparar.","Un dispositif monté sur le canon de certains fusils des forces de l'Est. Réduit l'intensité du son et du flash lumineux produits par le tir.","槍口配件，適用於東軍的某些步槍。降低開槍時的聲音強度與槍口火光。","東部軍によって使用される特定のライフルのための銃口装置。射撃の際に発生する音の強さと銃口の火花を減少させる。","A muzzle device for select rifles used by Eastern forces. Reduces sound intensity and muzzle flash generated by firing.","东方部队使用的精选步枪的枪口装置。可减少射击产生的声音强度和枪口焰。",

"str_cfgvehicles_aks74u_bttstck0",				"AKS-74U Folding Buttstock","AKS-74U Folding Buttstock","Skládací pažba AKS-74U","Faltbare AKS-74U-Schulterstütze","Складной приклад AKS-74U","Składana kolba AKS-74U","AKS-74U Folding Buttstock","Calcio pieghevole AKS-74U","Culata plegable AKS-74U","Crosse pliante de AKS-74U","AKS-74U 摺疊式槍托","AKS-74U 折り畳み式銃床","AKS-74U Folding Buttstock","AKS-74U 折叠枪托",
"str_cfgvehicles_aks74u_bttstck1",				"Folding buttstock for the AKS-74U assault rifle.","Folding buttstock for the AKS-74U assault rifle.","Skládací pažba na útočnou pušku AKS-74U.","Faltbare Schulterstütze für das AKS-74U-Sturmgewehr.","Складной приклад для автомата AKS-74U.","Składana kolba do karabinu szturmowego AKS-74U.","Folding buttstock for the AKS-74U assault rifle.","Un calcio pieghevole per fucile d’assalto AKS-74U.","Una culata plegable para el fusil de asalto AKS-74U.","Une crosse pliante pour fusil d'assaut AKS-74U.","摺疊式槍托，適用 AKS-74U 突擊步槍。","AKS-74U アサルトライフル用折り畳み式銃床。","Folding buttstock for the AKS-74U assault rifle.","AKS-74U 突击步枪的折叠枪托。",

"str_cfgvehicles_ak_railhndgrd0",				"AK Rail Handguard","AK Rail Handguard","Lištové předpažbí AK","AK-Schienenhandschutz","Реечная ствольная накладка AK","Łoże lufy AK","AK Rail Handguard","Paramani da scanalatura AK","Empuñadura de riel AK","Garde-main à rail de AK","AK 導軌扶手","AK レールハンドガード","AK Rail Handguard","AK 钢轨护手",
